stem,count
"לשלם",1431
"שינוי",1430
"יושבראש",1429
"עליהם",1429
"האנשים",1422
"לאחר",1420
"בכנסת",1419
"תשובה",1418
"כתוב",1412
"תוך",1411
"מכיוון",1406
"שנייה",1404
"כזאת",1398
"הביטחון",1397
"פעולה",1396
"קטן",1394
"מיליארד",1393
"מסוים",1387
"נתונים",1383
"המשפט",1379
"עולה",1378
"ארגון",1377
"למרות",1376
"מנכל",1376
"שאת",1375
"דין",1371
"מר",1367
"המשטרה",1367
"יושב",1365
"שהן",1356
"אחרות",1355
"והיא",1355
"במקרה",1354
"המקומי",1347
"האחרונות",1347
"הצבעה",1341
"ביום",1340
"בעיקר",1331
"נוסף",1323
"פעמים",1322
"הראשונה",1317
"ההצעה",1310
"למעשה",1308
"מצד",1306
"מהם",1301
"מרכז",1300
"מכל",1299
"טובה",1299
"השלטון",1299
"השנים",1298
"בעל",1296
"בדיון",1294
"מידע",1291
"תכנית",1289
"ואין",1289
"לכולם",1289
"מגיעים",1289
"רוב",1287
"ללא",1286
"אפשרות",1280
"שהיו",1276
"לפעמים",1276
"העיר",1273
"משפט",1272
"המערכת",1271
"לקבוע",1269
"שנתיים",1266
"ועוד",1264
"הסביבה",1255
"לטפל",1253
"פתרון",1245
"הכלכלה",1238
"בני",1237
"בעלי",1232
"וחצי",1229
"אמרו",1223
"לצורך",1214
"הבא",1207
"נציג",1206
"הסעיף",1200
"גוף",1194
"מבקשת",1193
"ברמה",1192
"שכר",1192
"יפה",1191
"בפני",1190
"ככל",1188
"קרה",1186
"כבוד",1186
"שתהיה",1185
"המשפטית",1184
"אגיד",1182
"בעיות",1174
"חקיקה",1171
"האחרון",1170
"המועצה",1168
"ימים",1166
"לשנות",1165
"הביטוח",1162
"מקרה",1160
"עלפי",1159
"מתי",1157
"אצלנו",1157
"ההורים",1152
"חברים",1150
"יבוא",1148
"בהתאם",1146
"ממשלה",1143
"לדעתי",1141
"מעט",1140
"הקודמת",1140
"עשינו",1139
"כלום",1139
"בטוח",1131
"בעוד",1130
"ספק",1130
"תהליך",1128
"סדר",1128
"אתן",1122
"חצי",1120
"החברות",1112
"מקומות",1110
"מודה",1110
"מענה",1106
"כולנו",1104
"ביחד",1104
"לאומי",1103
"לאנשים",1100
"מדי",1100
"נכנס",1099
"באים",1097
"דוח",1096
"לפתוח",1093
"חוץ",1092
"להוציא",1091
"באותו",1090
"באמצעות",1090
"מאשר",1089
"כנראה",1089
"הדרך",1088
"תחום",1084
"כלי",1080
"ממה",1079
"מדיניות",1079
"אתמול",1078
"עליה",1076
"המקומיות",1076
"לצאת",1074
"המון",1074
"אלינו",1074
"מדינה",1073
"במהלך",1073
"בלתי",1071
"ועד",1067
"הרב",1067
"המידע",1065
"היושב",1064
"הרשויות",1056
"למצוא",1052
"ראשונה",1051
"זכות",1047
"הבאה",1047
"הבית",1047
"בוא",1045
"הצעה",1044
"לבית",1044
"מכון",1040
"כוח",1039
"חייבים",1038
"למי",1037
"הילד",1036
"טיפול",1036
"שקורה",1033
"בשנת",1033
"מדברת",1032
"מעל",1029
"צורך",1028
"תוכנית",1027
"המורים",1019
"הלאומי",1017
"לשם",1015
"לממשלה",1015
"שאמרתי",1014
"ואתה",1013
"אמרת",1012
"מסכים",1010
"ילד",1010
"אנשי",1009
"לשאול",1008
"מסוימת",1007
"אצל",1006
"לעמוד",1005
"להמשיך",1005
"עומד",1005
"בנק",1005
"משפטית",1002
"לב",1001
"לתקן",1000
"גברתי",999
"אליו",998
"בזמן",998
"במערכת",997
"קשור",996
"משום",995
"להכניס",991
"לאשר",990
"בשעה",989
"אחריות",989
"חודש",985
"הדוח",984
"במשך",982
"שנת",980
"הערות",978
"לעבור",978
"דמי",977
"כאילו",977
"שכבר",975
"השנייה",975
"העולם",971
"נוספים",971
"המקומית",971
"נושאים",971
"היועץ",970
"מראש",967
"נקודה",965
"תגיד",963
"לביטחון",962
"לכאן",960
"מחיר",958
"להעלות",957
"ירושלים",957
"תקנה",951
"ביקורת",950
"במצב",948
"פנים",946
"תלמידים",943
"לחלוטין",942
"להסביר",941
"הוראת",940
"ההחלטה",940
"הגיע",939
"ממשרד",939
"שאלות",938
"אתכם",937
"התהליך",932
"לציין",932
"נוספת",932
"יקרה",930
"בעקבות",930
"אוקיי",930
"רישיון",920
"לקיים",920
"עבור",919
"דוגמה",917
"איזשהו",916
"נשמע",914
"הקודם",914
"הכנסה",913
"שואל",910
"חוזר",909
"הכבוד",909
"לאפשר",908
"מנת",908
"ללמוד",908
"כאמור",906
"מבחינה",906
"מכירים",906
"היתר",906
"המקום",905
"לעזור",904
"בוקר",904
"אמרה",901
"שמי",897
"האחרונה",895
"קשר",894
"לוקח",891
"מחדש",888
"דוד",887
"מקרים",887
"המטרה",885
"בתקנות",885
"אכן",884
"הערה",880
"ראשית",880
"איש",880
"לוועדת",880
"נוער",879
"סוף",879
"וכו",878
"בחשבון",875
"הוראות",874
"לגמרי",873
"רב",873
"שונה",873
"מוכן",872
"שנקרא",872
"טובים",871
"הלאה",871
"לציבור",867
"פעילות",866
"חולים",864
"רשויות",862
"כהן",861
"שלום",861
"שזו",860
"לשר",860
"וצריך",859
"רציתי",859
"ציבור",858
"שונים",858
"הנוער",854
"לאורך",851
"כספים",851
"איזו",850
"בפועל",850
"דקות",850
"ג",849
"שירותי",849
"הבעיות",849
"התחבורה",845
"שבה",844
"החלטת",844
"משה",843
"יוצא",843
"ציבורי",842
"הארץ",840
"מבינה",840
"בעבר",839
"השכר",838
"משמעותי",837
"יחידות",837
"עיריית",837
"לטובת",836
"לקדם",835
"שאמר",835
"בסך",835
"בקשה",834
"להן",834
"הלימודים",834
"להגיש",832
"להתחיל",832
"אמרנו",831
"מורים",831
"נאמר",830
"גבוה",830
"בהמשך",826
"הללו",825
"איאפשר",824
"חשבון",822
"אמור",822
"דיברנו",820
"המחיר",820
"להציג",819
"יוכל",818
"להגנת",817
"חשובה",816
"המשמעות",816
"קיבלנו",815
"המנכל",814
"שבאמת",814
"מבינים",812
"הפעילות",811
"מנהלת",810
"בשנים",810
"התלמידים",809
"מאז",808
"הסיפור",806
"שנמצאים",806
"חדשים",805
"הכוונה",803
"עלה",802
"הערבי",802
"הישראלית",801
"החלטות",800
"באיזה",799
"עובר",798
"ממנו",798
"חייבת",798
"התקשורת",797
"ביטוח",796
"לחזור",795
"לפנות",794
"לפה",793
"צו",792
"הדעת",792
"באותה",792
"שמעתי",792
"יושבים",791
"בשבוע",791
"לשים",790
"במגזר",790
"דיונים",790
"להקים",789
"גיל",788
"ברורה",788
"שמשרד",788
"ראיתי",785
"לצערי",784
"נציגי",780
"מחר",779
"פניות",778
"שנאמר",776
"ש",775
"זכויות",775
"הבחירות",772
"ודאי",772
"במקומות",772
"לחשוב",771
"שיהיו",767
"מניח",767
"ארבע",766
"ערך",765
"כללי",764
"המחירים",763
"הנושאים",762
"לקראת",762
"מסוימים",762
"סוג",761
"מעמד",760
"רבים",760
"לסיים",759
"למצב",758
"מים",756
"חובה",754
"שמה",754
"עבר",754
"עולים",753
"הסכם",752
"למען",752
"במה",752
"די",751
"בסיס",749
"לפתור",749
"לבצע",748
"איגוד",745
"עצמה",744
"הקליטה",741
"משלמים",739
"תלוי",739
"הטיפול",737
"איזושהי",737
"היית",735
"בריאות",734
"לדון",734
"חשמל",734
"התרבות",734
"אסור",734
"חמש",733
"מכן",733
"משלם",732
"התשובה",732
"דעת",732
"נוכל",731
"החולים",731
"רבותי",730
"בערך",729
"חדשה",728
"אושר",726
"תוספת",726
"ראשי",725
"במיוחד",725
"הציבורי",725
"פתאום",724
"כשאנחנו",723
"פיקוח",722
"השולחן",721
"מעניין",718
"קובע",718
"גפני",717
"במדינה",716
"משפטי",715
"לוקחים",715
"הורים",715
"התייחסות",714
"להוריד",713
"התאחדות",712
"בבתי",712
"אחוזים",710
"האחרים",710
"מאחר",708
"בתקציב",707
"החיים",706
"עשה",706
"בתור",704
"בטח",702
"לעומת",700
"ועם",700
"להתמודד",699
"גבוהה",698
"כיוון",698
"היחידה",698
"שבהם",696
"בשטח",696
"שירותים",695
"שנמצא",695
"עומדים",694
"גורם",694
"גדולים",694
"הון",693
"שמח",691
"נמצאת",690
"אחראי",690
"שניתן",690
"עמדה",689
"שהוועדה",689
"קיבל",688
"עשו",687
"צודק",686
"לרשות",686
"נגיד",686
"פטור",686
"הנוסח",686
"ברשות",685
"לבקש",685
"בחברה",683
"בשלב",683
"סמכות",682
"לשנה",681
"כשאני",680
"וכן",680
"אשמח",679
"הכל",679
"שכן",678
"לדברים",678
"שבוע",677
"קל",675
"קטנים",675
"כלפי",674
"בירושלים",674
"פגיעה",673
"העובדה",673
"סביר",672
"גופים",672
"סכום",672
"משרדי",670
"תן",670
"הנקודה",670
"שוק",669
"ושל",668
"שמדובר",668
"תחת",667
"בשוק",666
"קיבלו",664
"עובדי",664
"נמנעים",662
"בנוסף",661
"דר",660
"ראוי",660
"הממונה",659
"האדם",659
"לילדים",658
"האנרגיה",658
"שיכול",657
"מהר",657
"פרוטוקול",656
"שאמרת",654
"הפיקוח",653
"שרוצה",651
"הבנקים",650
"צהל",649
"הנה",649
"רבות",649
"לבנות",648
"התקציבים",648
"אישי",648
"בהקשר",647
"מילה",647
"לביטוח",646
"בחינוך",646
"האחריות",646
"הבקשה",646
"ישיבה",645
"אישית",645
"למנוע",645
"נכונה",644
"הסדר",643
"ומי",642
"שנעשה",642
"קרן",642
"נניח",641
"אתיופיה",641
"אלי",641
"עשרות",641
"למקום",641
"מיוחד",639
"צוות",639
"יצא",639
"כדאי",637
"עוברים",635
"להצביע",634
"הלאומית",634
"מצוין",633
"דיור",633
"מנסים",632
"לבחון",631
"החדש",630
"מוכנים",630
"מדינות",629
"בדברים",629
"שאנשים",629
"החקיקה",629
"בשם",628
"ואומר",626
"מינהל",626
"סתם",625
"רביעי",624
"עלייה",623
"באה",622
"ועדות",621
"האמת",620
"האוכלוסייה",620
"למעלה",620
"הביקורת",619
"מאה",619
"הגיעו",619
"הישראלי",618
"לקרוא",618
"בבוקר",617
"לבטל",615
"כלכך",614
"עלינו",614
"פרטי",614
"אליהם",613
"מתוקןמושב",613
"ליצור",612
"התעשייה",612
"הגענו",612
"לשבת",612
"הסכום",611
"קיבלתי",610
"מועצת",609
"בצד",609
"יכולת",609
"ביטול",609
"עיר",608
"שימוש",607
"בראש",606
"אסביר",606
"קיימת",604
"בדוח",603
"הרפורמה",601
"וכך",601
"שונות",601
"בחקיקה",600
"שבעצם",600
"הנשים",600
"וכמובן",600
"שעברה",599
"הגז",599
"יד",599
"התשעב",599
"הסוגיה",598
"הליך",598
"אלימות",598
"רבותיי",597
"בקצרה",597
"בדק",597
"לענות",597
"נתנו",596
"מרכזי",596
"יוכלו",596
"הגורמים",595
"ואחר",595
"המדיניות",595
"התכנית",593
"הגדול",593
"מקובל",593
"פרק",593
"להחליט",592
"כתוצאה",592
"וכמה",590
"לפעול",590
"תכניות",590
"עובדת",589
"שאולי",588
"כשאתה",588
"ביחס",587
"לידי",587
"דירה",587
"לישראל",586
"לאור",585
"מנסה",584
"יוצאי",584
"לארץ",584
"קוראים",583
"לתוך",582
"מוסדות",581
"בדבר",581
"אתי",580
"נקודות",580
"בחלק",580
"התפקיד",579
"תקציבים",579
"משפחה",579
"ראינו",578
"ניסיון",578
"בדיקה",578
"בחודש",578
"לקידום",578
"שינויים",577
"והן",577
"תשובות",577
"הרעיון",576
"שזאת",576
"האפשרות",576
"איתם",575
"כושר",575
"שלישי",575
"מקצועית",575
"ורק",575
"מתחיל",574
"נוספות",574
"יעקב",574
"מלא",573
"בלבד",573
"לשמור",573
"עסקים",572
"הקהילה",572
"הוטל",572
"להשתמש",571
"גודל",571
"הוראה",571
"המבקר",571
"בפעם",570
"מין",570
"בגיל",570
"בתחילת",570
"התכנון",569
"הדיור",569
"הצו",569
"לנהל",569
"שהיום",568
"יקבל",568
"האישה",568
"נותנת",567
"גורמים",567
"ואתם",567
"עצמם",567
"ארבעה",566
"החוץ",566
"התיקון",566
"בכמה",563
"ננעלה",563
"ציבורית",563
"ההסדרים",562
"חוסר",561
"התמת",561
"המנהל",561
"תנאי",560
"הנחה",560
"מותר",560
"השם",559
"עבירה",559
"בישיבה",559
"זוכר",558
"לייצר",558
"קטנה",558
"הצעות",558
"סגן",557
"ואחרי",557
"נגיע",556
"המשרדים",555
"ומתן",555
"ועכשיו",555
"שהחוק",554
"שיתוף",554
"אשר",554
"ובין",554
"להודות",553
"יכולות",553
"החקלאות",552
"בכך",552
"השוק",551
"ולהגיד",551
"פעולות",551
"קרוב",550
"שקרה",550
"מתכוון",550
"אתו",549
"דירות",549
"חבל",549
"בניגוד",548
"ואולי",548
"היכולת",547
"המוסד",547
"הסטודנטים",547
"אורי",547
"מחוץ",547
"ארוך",546
"אתך",544
"לשכת",543
"נצטרך",542
"להרחיב",541
"תקופה",540
"שווה",540
"שאלתי",540
"הגופים",539
"מדוע",539
"סיוע",539
"הפתרון",538
"קצר",538
"נגישות",538
"נורא",536
"ביטחון",536
"שיותר",536
"הצרכן",536
"הכללי",536
"העירייה",536
"עבירות",535
"השידור",534
"מורה",534
"הבדק",534
"ארגוני",534
"משפחות",533
"עמדת",533
"סעיפים",533
"סיבה",532
"גז",531
"המסים",531
"נכנסים",530
"לעבודה",530
"קדימה",530
"מקצוע",530
"ביולי",529
"יגיע",529
"בהצעת",529
"תעשה",528
"יצחק",527
"שיעור",527
"אלו",526
"חל",526
"ברשותך",525
"תכנון",525
"החלק",525
"ביטוי",525
"בחירות",525
"דיבר",525
"משמעותית",524
"המס",524
"שקשור",524
"באזור",524
"נדמה",523
"ישיבת",523
"צעירים",522
"הסיוע",522
"אופן",522
"עצמי",521
"לדוגמה",521
"בהן",521
"לסעיף",521
"שלהן",521
"הביתה",521
"בנושאים",520
"נדבר",519
"שלמה",519
"שהיתה",519
"שמענו",518
"ד",517
"מכתב",517
"נתון",517
"עמותת",517
"עסק",517
"חנין",516
"הדיונים",515
"שאומר",514
"בתקופה",513
"אושרה",513
"הציבורית",513
"במידה",513
"נתן",513
"אך",513
"מערכות",512
"המשפחה",511
"ההסכם",510
"לכנסת",510
"יעלה",510
"קבע",510
"לנסות",509
"נקבע",509
"רמת",509
"בתקנה",508
"קבוע",508
"עולם",507
"בהרבה",507
"תראו",506
"מבחינתנו",506
"תעודת",506
"הערבית",505
"לשעבר",505
"מקלב",504
"למדינה",503
"מקצועי",503
"איכות",502
"מוגבלות",501
"המספרים",500
"דעתי",500
"היהודי",500
"תוכל",499
"הקיים",499
"המחקר",499
"אלפי",498
"מיד",498
"דיברתי",498
"ממני",497
"ידע",497
"סביב",497
"מאיפה",497
"מקבלת",496
"מאמין",496
"לפגוע",496
"מחירים",496
"דב",496
"פשוטה",496
"היועצת",495
"פתרונות",495
"שליטה",495
"תלונות",493
"לחברה",493
"אפשרי",493
"יושבת",492
"יחסית",492
"בזמנו",491
"שהממשלה",491
"כלכלית",491
"שהמדינה",491
"תיכף",490
"וכולי",489
"בינתיים",489
"נמוך",489
"מילים",488
"עשר",488
"חוקים",488
"וזו",488
"ממך",488
"דיווח",487
"מציעים",487
"כשהוא",487
"כזו",487
"נהיה",486
"הכשרה",486
"קלאב",486
"בתהליך",486
"לאן",486
"אליה",485
"תנו",485
"ניהול",485
"להזכיר",485
"השירותים",484
"דיבור",484
"שרים",483
"שרוצים",483
"פועלים",483
"המגזר",482
"חדשות",482
"קורא",482
"אליך",482
"ההגדרה",481
"מטעם",479
"ואיך",479
"פרופ",479
"כמות",478
"לסגור",478
"תשלום",478
"במשק",478
"שעבר",478
"לבד",478
"מביא",478
"שניים",477
"להחזיר",477
"פרויקט",477
"שיקול",476
"ייתן",476
"פונה",476
"העמדה",476
"תרבות",475
"ויותר",475
"להעיר",475
"מחקר",474
"עבודת",474
"נשאר",474
"תחרות",474
"להבהיר",474
"משק",474
"השרים",473
"מקומית",473
"שהנושא",472
"ויכוח",472
"חד",472
"לזכור",472
"ביקשתי",471
"שמונה",471
"בכיר",471
"פנייה",471
"להשאיר",471
"בקרב",470
"לדאוג",470
"השעה",470
"שוויון",469
"שבועיים",468
"מטה",468
"הסיבה",468
"יהודי",468
"כתב",468
"בקשר",468
"כיום",467
"רכב",467
"התוכנית",466
"רלוונטי",466
"מינית",466
"ומשרד",465
"שצריכים",464
"המציאות",464
"לפרוטוקול",464
"סיפור",463
"אתנו",463
"כלכלי",463
"ובאמת",463
"מתחת",463
"הבדל",462
"לחברי",461
"לחבר",461
"בשום",461
"יהודים",460
"שמישהו",460
"מתחילים",460
"הצורך",460
"באמצע",460
"מביאים",458
"מעלה",458
"התשעעשרה",458
"מייצג",457
"סמכויות",457
"בעיר",457
"רשאי",457
"הזדמנות",457
"שומע",456
"לנשים",455
"תפקיד",454
"מכירה",453
"הקרן",453
"להדגיש",453
"שפה",452
"יוצאים",451
"שכולם",451
"כשיש",451
"למערכת",450
"דומה",450
"אישה",450
"ברמת",450
"יגיד",450
"ואחרים",449
"בשיתוף",449
"חוקי",449
"מופיע",449
"המשך",449
"לתקנות",449
"בידי",448
"השונים",447
"מתאים",447
"מכרז",447
"קו",447
"חובת",446
"תראה",446
"ביצוע",446
"קבוצה",446
"בת",446
"מתן",445
"טועה",445
"מאות",444
"לכתוב",444
"שעשינו",444
"מנגנון",443
"השינוי",443
"חסר",443
"השאלות",443
"עוסקים",442
"הארגונים",441
"האזרח",441
"תיקים",441
"משטרת",441
"פרסום",441
"לחינוך",440
"מורכב",439
"הברית",439
"וזאת",439
"השיכון",439
"האכיפה",438
"הקמת",438
"מסכימים",438
"מטפלים",438
"שי",437
"בשני",437
"הודעה",436
"דיברו",435
"יור",435
"חקירה",435
"רישוי",434
"לסדר",434
"הסכמה",434
"להסתכל",433
"שחשוב",433
"חמישה",433
"ושם",433
"אחרכך",432
"לאותו",432
"תקופת",432
"אתייחס",431
"תלאביב",431
"אכיפה",431
"הפעולה",431
"אירוע",431
"גמור",431
"מחלקת",430
"אביב",429
"מחירי",429
"הלא",429
"מערך",429
"נמשיך",428
"מספרים",428
"שאינו",428
"מציעה",428
"טעות",427
"מיום",427
"יעשה",426
"יקבלו",426
"לברך",426
"אמורים",426
"בפריפריה",425
"שבע",425
"הדיבור",425
"רשמי",425
"בממשלה",425
"ההון",425
"לטיפול",425
"לחלק",425
"המעמ",424
"שמגיע",424
"נקרא",424
"הולכת",423
"מאודמאוד",423
"שנוכל",423
"תוכניות",422
"מיכל",422
"מכם",422
"רשת",421
"שמחה",421
"עובדות",421
"קבלת",421
"חשובים",421
"כלים",421
"הצוות",420
"שהייתה",420
"מהדברים",420
"מתייחס",420
"צריכות",419
"מחייב",419
"היחיד",419
"נוהל",419
"המרכז",418
"סל",418
"בודקים",418
"להציע",417
"עליהן",417
"הפרויקט",417
"ובכל",416
"סטודנטים",416
"לשנת",415
"התקנה",415
"התוספת",415
"להגן",414
"אמנם",414
"במקרים",414
"כללית",413
"מקומיות",413
"הביניים",413
"שכתוב",413
"נתחיל",413
"פתוח",412
"הפנייה",412
"להאריך",411
"נעולה",411
"הרכב",411
"דנים",411
"לימוד",411
"ערוץ",410
"מברך",410
"עצמנו",410
"לעובדים",410
"המרכזי",410
"אוקי",410
"עורך",409
"ביקשנו",409
"בהתחלה",409
"בחוץ",409
"ישראלי",408
"הכללית",408
"סך",408
"שמעון",407
"ירידה",407
"מהלך",405
"שקיים",405
"שחלק",405
"יעבור",404
"המקרים",404
"סדרי",403
"ואומרים",403
"בימים",403
"החברים",402
"לחברת",402
"משותפת",402
"לקנות",401
"שמגיעים",401
"מסודרת",401
"קיימים",400
"המרכזית",400
"הראש",400
"ממנה",399
"הנוכחי",399
"שבסופו",398
"הוועדות",398
"החרדי",397
"התקופה",397
"פיתוח",396
"אחזקה",395
"מאפשר",395
"התחלנו",395
"ההערה",395
"איתי",395
"ולראות",395
"המיסים",395
"מלון",395
"הנכון",394
"מועצה",394
"להשלים",393
"בעייתי",393
"חשיבות",392
"העלייה",392
"ביתהמשפט",392
"הפניות",392
"קבוצות",392
"ההסתייגות",392
"לשאלה",391
"רגיל",391
"קריטריונים",391
"המדע",391
"אזרח",390
"בחדר",390
"אמירה",390
"שותפים",390
"ופה",389
"לרבות",389
"בטיחות",389
"הגוף",389
"להגדיל",389
"אצלי",389
"משמעות",389
"העליון",389
"אישום",388
"לענייני",388
"כיתות",388
"לומדים",388
"מיכאלי",388
"מבחינתי",388
"בניין",387
"סוגיה",387
"ששם",387
"התחיל",387
"הצלחה",386
"הכלכלי",386
"איתו",386
"בנייה",385
"מנהלים",385
"לסייע",385
"להצבעה",385
"החל",385
"שעושים",385
"עורכי",385
"תקציבית",384
"שהדבר",384
"עברו",383
"בשירות",383
"לשלוח",383
"עשרה",382
"במרכז",382
"לחברות",381
"מסתכלים",381
"דובר",381
"אחרון",381
"הרישיון",381
"בעבודה",381
"רישום",381
"לקריאה",381
"תנאים",380
"אושרו",380
"אוכלוסייה",380
"האחרונים",380
"להשקיע",379
"המקומות",379
"שואלת",378
"רצון",378
"וכדומה",377
"התאמות",377
"שעל",377
"נשמח",377
"מצביעים",376
"שומעים",376
"שהדברים",376
"בתוספת",376
"מועד",376
"איסור",375
"במובן",375
"חודשיים",375
"מסודר",375
"השקעות",374
"נגמר",374
"ולומר",374
"הבנק",374
"בדיונים",373
"הקריטריונים",373
"לראש",373
"בלילה",373
"השלישי",372
"התנאים",372
"דרכים",372
"יבואו",372
"במאי",372
"הקשר",371
"לקח",371
"קנס",371
"מלווה",371
"מעבירים",371
"לזכויות",370
"תיק",370
"לחיות",370
"באתר",370
"הטוב",369
"מפני",369
"ביקש",369
"ולתת",369
"מימון",369
"פורום",369
"לאותם",368
"ההסדר",368
"בקשות",368
"תקבל",368
"עלות",367
"מפה",367
"יהודה",367
"לרשויות",367
"התיירות",367
"פרטית",367
"מיוחדים",367
"פלוס",367
"מאתנו",366
"בכיתה",366
"הזכות",366
"מוסד",365
"תאגיד",365
"זרים",365
"לספר",364
"מנהלי",364
"אחורה",364
"שעד",364
"למנכל",363
"הכלים",363
"אבקש",363
"מזכיר",362
"ארוכה",362
"היקף",362
"המסחר",362
"רחב",361
"לעודד",361
"חברתי",360
"חסון",359
"הגדרה",359
"הגירעון",359
"גן",358
"דברי",358
"יעשו",356
"בר",356
