stem,count
ארץ,4295
מספר,4281
אדם,4276
יפה,4270
צד,4148
גוף,4131
הציע,4119
בעל,4116
בן,4100
גדול,4100
כף,3992
פעל,3985
תקנה,3898
בת,3897
הכיר,3890
רשות,3854
מורה,3844
הוראה,3835
תיקון,3816
דוח,3746
נקודה,3743
בגלל,3740
קור,3726
דעת,3707
בריא,3699
ה,3698
הבחין,3692
עש,3692
יחיד,3633
מערכת,3629
נס,3618
אצל,3612
גדל,3591
כזה,3580
מת,3580
סוים,3579
אחרון,3572
תהליך,3550
ל,3541
סוג,3521
עדי,3520
שינוי,3514
ברר,3472
דיוק,3469
רווח,3450
הסכם,3430
קטן,3409
דעה,3403
מר,3390
איזה,3383
הדביר,3382
הן,3378
ביטחון,3374
בצור,3370
השאלה,3364
אישור,3350
בז,3345
אף,3315
תשובה,3270
נציג,3266
קש,3257
בעד,3254
פשט,3248
חקיקה,3244
הר,3237
עזר,3231
נגד,3231
קדם,3218
תקן,3215
תפקיד,3194
בנק,3192
אור,3179
הרה,3168
יעץ,3166
החליט,3163
רם,3159
קץ,3130
תלמיד,3130
למד,3116
ביטוח,3108
מועצה,3106
היתה,3104
תחם,3086
הסביר,3061
הפנים,3056
נוסח,3048
דן,3031
כלי,3024
ואז,3015
רוב,3012
פעולה,3007
פרט,3004
תקוף,2977
הזם,2966
הבנה,2961
ממשל,2950
מרכז,2947
ועד,2936
טיפול,2922
הגיש,2920
קשר,2917
פתרון,2911
ערב,2908
שמח,2902
שירות,2900
בלה,2892
יוחד,2884
משנה,2871
מין,2853
קר,2838
סף,2836
כבוד,2819
והוא,2815
השיר,2812
הרשה,2804
הציג,2789
נער,2761
פנה,2751
ערך,2744
תוכני,2743
תכנית,2740
מל,2738
גיל,2736
עניין,2735
חץ,2732
אפילו,2710
חוץ,2692
משפטי,2665
שלם,2655
מישהו,2655
מסגרת,2647
שגם,2646
מוסד,2635
יצר,2620
שוק,2615
חשוב,2578
שנת,2576
אד,2556
הוציא,2549
אושר,2544
העלה,2514
הכה,2508
אגף,2503
הוסיף,2486
יוון,2479
חל,2465
שותף,2465
עיקר,2446
אגב,2435
סביב,2433
הערה,2426
שבע,2425
הכניס,2412
כוח,2405
גרם,2390
מנה,2378
מקצוע,2375
חרת,2356
מכון,2355
שכל,2347
חשמל,2336
אלף,2325
אוכלוסייה,2316
הפך,2315
סיים,2312
מ,2312
ניהל,2303
הצליח,2298
הספיק,2297
אפשרות,2296
וידא,2293
חשבון,2270
לימוד,2267
ממש,2265
הצבעה,2263
פעילה,2259
דוגמה,2239
שילם,2221
צב,2207
עין,2205
בוועדה,2205
נשאר,2202
כלה,2196
בחיר,2190
מעבר,2178
מדיני,2178
תנאי,2170
אזרח,2160
גבר,2160
אחרית,2158
שביל,2157
מעש,2155
היושבראש,2131
תמיד,2127
בחינה,2121
תוספת,2117
עלידי,2114
א,2111
ביקורת,2107
הניח,2107
שת,2093
שלה,2089
צו,2088
קומי,2087
הליך,2081
קבוצה,2080
ארגון,2077
קצר,2074
ניסה,2072
בוקר,2063
ערכה,2052
פנייה,2052
זך,2042
עירייה,2032
קל,2029
ייחד,2027
מקווה,2019
המשיך,2012
העיר,2012
איל,1997
נגע,1992
עביר,1987
עקב,1982
התקנה,1973
פגע,1971
טפל,1970
ביותר,1953
שלטון,1937
לב,1934
בטח,1934
שכר,1933
ארבע,1929
זכות,1921
בדיקה,1920
ו,1920
מבקר,1916
משפחה,1914
הגדרה,1912
מכר,1905
יהודי,1904
רשם,1899
שטח,1898
סמכות,1898
שלח,1892
ככה,1889
דווקא,1878
מזה,1873
קם,1872
ירושלים,1871
הודה,1870
כנס,1864
דק,1856
תיק,1856
פיקוח,1855
מעל,1844
תאגיד,1842
הצטרך,1841
הכסיף,1839
צור,1831
רישיון,1809
אחז,1805
לשכה,1800
והם,1788
כיתה,1782
הסתכל,1778
שטר,1770
נעשה,1770
סיפור,1768
רגן,1768
עט,1767
חזה,1766
ספק,1765
פרויקט,1765
אמור,1762
בידר,1760
חלה,1757
משך,1757
שלב,1749
סליחה,1744
צדק,1736
גן,1734
מאה,1725
משמעות,1715
בחר,1714
גר,1712
נראה,1706
יין,1703
מנע,1698
תם,1695
זכר,1691
ציבורי,1690
אירוע,1681
לכת,1678
הוריד,1675
מעט,1673
מיליארד,1664
מלא,1657
פרוטוקול,1638
בהחלט,1638
אחראי,1635
יחס,1633
צוות,1628
התאם,1625
חמש,1623
ראוי,1620
הבאה,1616
תקשורת,1613
לוועדה,1612
פתר,1594
מהל,1593
קרב,1578
התקבל,1577
תן,1576
תעשייה,1571
ממשלה,1571
דיור,1569
סך,1568
ומה,1566
גבוה,1559
שיעור,1559
נוהל,1559
עמותה,1548
ענה,1547
התקיים,1544
נכה,1538
פרטי,1536
השקיע,1536
המשך,1533
סגר,1533
שמר,1528
בקר,1524
מידע,1524
חקר,1522
מען,1521
שאלה,1517
הסכים,1513
תשלום,1513
כ,1512
יקר,1506
הסדר,1501
תכנון,1498
בוועדת,1489
דיווח,1481
מגזר,1478
מקצועי,1477
נדרש,1475
הצביע,1458
שבוע,1457
התשעג,1454
דמה,1450
תושב,1449
לכך,1437
ברור,1437
אתר,1431
יושבראש,1429
דאג,1429
עלייה,1428
מעמד,1427
מכל,1424
עיר,1421
אמצע,1421
התכוון,1421
השאיר,1420
משק,1418
חדר,1414
הנחה,1414
רופא,1413
גז,1411
אחרונה,1405
דרש,1404
כזאת,1398
פרק,1396
רפורמה,1393
מעד,1391
התקדם,1391
שפה,1391
מפעל,1390
ניסיון,1389
רכז,1388
סטודנט,1388
שולח,1384
צער,1380
מנכל,1376
בלתי,1370
הון,1368
מידה,1368
פער,1366
קשור,1361
ביום,1361
ניתן,1358
שהן,1356
והיא,1355
תחילה,1349
צוין,1347
עובד,1343
גבה,1342
בדיון,1342
בחן,1341
אוניברסיטה,1340
סכום,1340
עיקרון,1336
סיוע,1332
שעל,1327
ירד,1327
הדר,1325
חזק,1324
לבד,1324
צי,1319
חקירה,1318
שיתוף,1316
ספציפי,1313
הוביל,1310
הגן,1309
ראשי,1309
מכרז,1308
מוצר,1305
שלום,1305
חומר,1301
תקף,1296
טען,1291
תוצא,1291
גמר,1291
המלצה,1291
אום,1290
ללא,1286
דם,1279
מילה,1275
התאים,1274
מד,1270
סר,1266
קריא,1260
פגיע,1257
טיפל,1257
תר,1255
אחוז,1255
המון,1254
תחום,1253
שיקול,1249
צעיר,1246
עת,1243
עזב,1241
עשר,1235
ער,1235
מש,1234
קרן,1234
הופיע,1234
אבטח,1233
רחב,1231
שליש,1229
ייצג,1219
כלום,1219
היתר,1217
התמודד,1212
הזכיר,1208
שימוש,1207
היור,1206
רעיון,1205
מוצע,1200
השקעה,1200
טעה,1198
אמצעות,1198
בצע,1194
הרחיב,1190
סם,1189
לאומי,1188
דר,1185
חתם,1180
נכס,1179
ייצר,1179
סחר,1179
התייחסות,1177
חב,1176
שיכול,1175
הקשר,1174
עמדה,1172
התחלה,1169
רלוונטי,1168
בסיס,1164
מדע,1162
קוד,1160
עלפי,1159
מטרה,1156
לאות,1154
אכיף,1153
הנחיה,1153
לווה,1150
כיהן,1147
הצטרף,1146
אישה,1146
לאום,1145
חוב,1144
קושי,1144
חסר,1144
צאת,1143
כלכל,1141
עתיד,1141
יזם,1141
פרסום,1141
בטיחות,1140
הצלחה,1140
תשתית,1136
תעודה,1135
אישי,1134
איגוד,1132
אנרגיה,1131
שידור,1130
חרד,1125
דוד,1122
קנה,1121
תחבורה,1121
סביר,1118
ניהול,1115
קרקע,1114
אזר,1112
היבט,1110
פיתוח,1110
קריטריון,1108
שהייה,1107
בנייה,1105
ביחד,1104
תנועה,1100
דרישה,1099
אתיופיה,1098
הודיע,1096
פטר,1095
חריג,1092
הודעה,1091
נח,1091
אב,1090
ספורט,1090
סיב,1087
הרגיש,1085
דיבור,1083
קידום,1082
ממה,1079
נפש,1079
ערבים,1079
תופעה,1078
אתמול,1078
סכם,1076
הוגבל,1075
נגיש,1075
הסתייגות,1075
איכן,1073
כללי,1072
נפגע,1071
רצון,1069
חילק,1068
נכח,1066
מסך,1057
קצב,1056
פקח,1055
הרוויח,1053
תלוי,1053
סייע,1052
ענף,1050
קו,1050
מנגנון,1049
המטרה,1043
תואר,1039
אלים,1038
יעד,1037
הוצא,1033
לש,1033
מודל,1033
עצר,1032
חויב,1032
חשיבה,1030
קרוב,1028
במה,1027
לקוח,1026
התקן,1024
רכב,1020
מוקד,1015
סוגיה,1015
יגיע,1015
הוצאה,1010
סיכון,1010
הזדמנות,1009
השתמש,1003
פשוט,1003
חידש,1000
הורכב,995
רגיל,992
בניין,989
דירה,987
החזיר,985
השכיר,985
איכות,984
תחנה,981
מבחן,981
סיכום,981
שפט,978
סודר,975
הגנה,975
חברתי,974
תמיכה,974
נהג,973
ממשלתי,972
רשימה,971
מרכזי,970
פסק,969
גזר,967
ביטול,961
הכיל,960
לכאן,960
מציאה,959
מעה,957
ין,956
מודע,955
לבן,952
רפואי,952
נפרד,951
מקומי,946
זכה,945
יעל,944
לחלוטין,942
צבא,942
פריפריה,938
ביצוע,938
קופה,937
ערוץ,936
חשש,933
העברה,933
משטרה,932
די,931
מחוז,930
תמך,930
אוקיי,930
משמעותי,928
שלישי,928
היקף,926
מיל,922
חופש,922
תפיסה,922
אזור,921
קנס,921
רכש,921
ארוך,918
הלאה,916
הערכה,916
איזשהו,916
מחקר,915
מוך,915
מטה,914
נסע,914
משאב,911
הבטיח,908
מקור,907
זרח,900
שוויון,900
כדאי,898
בנה,897
הוגש,895
קהילה,895
מתח,893
סל,892
הקמה,892
התאחדות,889
תעסוקה,887
משטר,884
חייל,883
יישוב,883
מכתב,882
לוועדת,880
בכיר,879
אינטרנט,878
וכו,878
נמנע,877
קשה,877
לגמרי,873
נצר,872
הכין,872
בירך,872
מעסיק,868
מעון,867
לקראת,865
אינטרס,864
זהה,864
החל,864
כיוון,863
הכוונה,862
גודל,861
מעלה,861
שזו,860
מליאה,859
נגיד,856
טבע,855
הוטל,854
אהב,853
ציין,852
התנהל,852
מהות,851
שכן,850
איזו,850
ג,849
חוסר,847
מצביע,844
תרבות,842
תרופה,842
חיפש,842
האמין,839
הוכן,837
גירעון,836
השעה,836
נקבע,833
הילל,833
חקלאות,833
רציני,832
להק,831
בבה,828
בישם,828
דת,827
בער,827
העריך,825
איאפשר,824
ממשיך,824
איחר,820
עודד,820
תלונה,820
שניים,818
הפסיק,818
שווה,818
השים,816
אוויר,816
גידול,816
פנס,815
יהודים,814
המנכל,814
כושר,814
קבוע,812
התרבה,812
ציון,811
נייר,810
גמל,809
הסבר,809
הנה,808
מאז,808
רע,805
מהיר,804
הסתדרות,803
שוטר,802
מונה,802
התחייב,799
באיזה,799
הקריא,799
השפיע,798
מימון,798
תעריף,795
נדם,792
הגעה,791
כלפי,791
ניגוד,791
המס,790
מערכה,789
ודאי,787
חלוק,786
למען,786
עורב,784
הנהלה,783
מדד,783
אירופה,783
מסמך,783
מקובל,781
מיהר,781
מחר,779
קטין,778
הפניה,777
בטל,776
ש,775
אמון,775
נשק,774
זר,774
חוף,772
סגן,771
רישוי,769
היגיון,769
מחזיק,768
טווח,767
פורום,767
איתן,764
עשרת,764
נפל,761
תחת,761
פלילי,761
הקליט,757
פר,757
חובה,755
דרום,755
מסלול,755
נזק,755
חבל,755
לוח,753
תקציבי,751
שיקום,750
נגמר,750
הסתנן,749
דיר,748
הגדיר,747
לעומת,747
חמור,747
הפריע,747
נפגש,747
אמן,745
כלכלי,744
גפן,743
רבה,742
סוציאלי,742
מסקנה,740
פח,738
מבנה,737
איזושהי,737
זוג,736
רישום,735
חקק,734
פרס,732
פיצוי,731
קליט,731
הטבה,728
צעד,728
מותר,728
קביעה,728
עלות,727
אגוד,727
נמוך,727
כמות,726
עדיף,725
הגדיל,725
ידוע,724
פתאום,724
טכני,724
כשאנחנו,723
מפנה,720
שח,720
טכנולוגיה,719
לחץ,718
מסר,718
עליון,717
מאמין,715
רון,715
סתם,714
כביש,714
נורא,712
תוצאה,712
שקר,711
התעסק,710
מושב,710
תוכן,709
הדגיש,708
שיווק,708
רשאי,707
חיכה,704
רגולציה,704
ביטוי,704
נאמר,701
שחבר,701
תביעה,699
הקהיל,697
הבהיר,697
קרס,693
הקים,693
אמיר,693
מאגר,691
קלט,690
חס,690
פרסם,690
המליץ,690
צהל,689
מלון,689
שהוועדה,689
הטיל,688
צחק,687
רז,686
פקוד,685
השלים,684
איזון,683
העלאה,683
כשאני,680
דואר,680
שיכון,680
צורך,679
סיכם,678
חווה,678
שלט,677
יון,674
מאמץ,672
ייעוץ,672
מבצע,671
קיבוץ,671
יסוד,671
פורסם,670
התאמה,669
תל,668
יעיל,668
העמדה,668
חקלאי,667
האריך,666
נדבר,665
סבר,665
דויק,665
התחייבות,663
ארנונה,662
ביתק,662
הזמין,661
הקשיב,661
אחזקה,660
קואליציה,660
עברים,660
הסמכה,660
האדים,660
כוון,659
נהיה,657
נמש,656
התכנה,655
חד,654
תיירת,654
פעיל,653
התכנס,652
גוב,651
זכאי,651
הכשר,651
נציבה,648
מגבלה,648
הוגדר,648
אכל,646
מטע,646
שכונה,644
רביע,642
הנשים,642
מערך,642
פיקח,641
נטל,640
פוליטי,640
עיתון,638
דרג,637
צרכן,633
הצגה,632
הועבר,629
פיננסי,629
הראה,628
הסתיים,628
סקר,627
מינהל,626
פקיד,625
נהנה,623
מזכיר,623
מזון,623
ארך,623
אתי,622
שחק,622
טלפון,622
פנימי,621
קיצוץ,621
כובד,620
יתר,620
אכף,619
מגמה,617
כלכך,614
מתוקןמושב,613
כנסת,613
פרקליטה,613
ויכוח,611
הוחלט,610
האיר,609
איסור,608
סמך,608
הפעיל,608
מתנגד,606
ויתר,606
מחץ,606
סין,606
כיבד,605
חטיבה,604
ידיעה,603
מינוי,603
שאול,602
לענה,601
וכך,601
התשעב,599
עור,598
נבחר,597
שליט,595
ירא,594
כתוב,593
מילוא,592
כניסה,592
מכס,592
משתמש,592
סיעה,591
תאונה,590
מקביל,590
עיקרי,590
הבדל,587
שילוב,587
הלוואה,586
תקין,584
שאר,583
רחוב,583
דחה,583
חסם,582
קדנציה,581
הצר,581
יריד,580
מינה,580
נשיא,579
אולם,579
אופוזיציה,577
והן,577
שזאת,576
שד,576
איתם,575
הקרין,575
ורק,575
נועד,574
הרכב,574
נקי,574
יעקב,574
זיהה,573
קדימה,573
מחשב,571
העסיק,571
מלחמה,570
איפה,570
ארצי,570
הוקם,569
מסגר,568
מפה,568
ננעל,568
מומחה,566
השפעה,566
נרשם,566
השתתף,566
שטף,564
חליל,562
קיום,561
הניע,560
תרם,560
יישום,560
אחות,560
נע,558
עירוני,558
טענה,558
שמן,557
אילת,556
ועכשיו,555
שכח,554
הגיב,554
מונח,553
בכך,552
טופס,550
ואולי,548
מאבק,548
הישג,546
אשראי,546
שק,545
משרה,545
כשר,544
אופציה,544
מינימום,543
נשב,541
אחור,540
במאי,540
גננת,539
ניצול,539
מדוע,539
יחסי,537
מצפה,536
פרש,535
תקנון,534
החליק,534
שיתף,534
משא,533
העמיד,533
ביול,532
תיאום,532
צמצם,531
ביטל,531
תפס,531
ברית,531
הפרדה,529
השיג,528
השוואה,528
תחושה,527
שיפור,527
פתוח,525
הסכמה,525
חסך,523
תא,523
נציגה,522
חנה,522
התנצל,521
שהיתה,519
בודד,518
קטע,518
ד,517
סוגל,516
חנין,516
רוח,515
יידע,515
החזיק,514
חיפה,514
גוון,514
רשת,513
אך,513
עצמאי,511
הפעלה,511
ממון,510
ניצל,510
השכלה,509
תשומה,508
אחרי,507
מטר,507
בהרבה,507
השווה,506
מדריך,506
מזרח,505
לשעבר,505
נערך,504
חן,504
מקלב,504
בטוח,504
מחק,503
תבע,503
נסגר,503
גדר,502
טכנולוג,501
נעל,501
עירית,500
סימן,499
דתי,497
רגיש,497
תיאר,497
חלופה,496
התנהלות,496
דב,496
השתתפות,495
אופק,495
שחרר,494
נבע,494
הוסמך,493
התערב,493
נמך,493
הדיר,492
הגשה,492
הכנה,491
הטענה,491
סיבה,491
תיכף,490
רפואה,490
הסדיר,489
בינתיים,489
וזו,488
חישוב,488
פטור,488
בגר,488
ראי,488
מענק,488
אוזן,487
פגישה,487
כשהוא,487
כזו,487
מפעיל,486
קלאב,486
בינלאומי,486
ברך,486
טלוויזיה,486
טופל,486
לאן,486
סיום,486
מצגת,485
פרץ,484
אביב,484
הוצג,484
ייצא,483
אחיד,481
מפגש,481
שול,481
ניגש,480
זרק,480
פרופ,479
דירוג,478
התבצע,477
טעם,477
רביזיה,477
כולה,476
התחרה,476
פתיחה,475
חלש,474
התנגד,474
שיטה,474
סבל,473
אישום,470
הבטחה,470
תשע,469
ליווי,468
כבל,467
גל,467
התנגדות,466
עלול,466
פיילוט,465
עמל,465
כיסא,464
סיפק,463
הפסקה,463
שמישהו,460
התשעעשרה,458
צף,458
עסקה,457
פחד,457
מילא,456
מקלט,454
הוכיח,454
השתחרר,454
איום,452
מימן,451
קידם,451
דולר,450
קרה,450
מתקן,450
אנגליה,450
דווח,450
מסוכן,449
רגל,449
הכרה,448
הקל,448
אסיר,448
הארכה,448
ברח,447
שי,447
פליט,446
הנדס,446
ריבית,445
גבול,444
השתדל,444
נעול,444
אפליה,443
מיטב,443
פורש,442
השיב,442
ברוך,441
גור,441
שכתוב,441
נתקל,441
בד,441
מחל,440
וזאת,439
ברירה,439
מתק,438
לימד,438
בעייתי,437
הקטין,437
מעצר,437
הכרח,437
בינוי,436
ראיה,436
יור,435
חוקי,435
להג,435
התקין,435
התלונן,434
שה,434
מושג,434
החליף,434
גבייה,434
ניתוח,433
זול,433
שור,433
אוחר,433
אחרכך,432
יישם,432
אזורי,432
תקצב,431
תלאביב,431
פרופסור,431
נסיבה,431
ישיר,430
מחלוקת,429
הלא,429
שכנע,428
הסיר,427
סביבה,427
דירקטוריון,427
סיס,426
עידוד,425
זקוק,425
סיכוי,425
בדל,425
המעמ,424
מניע,424
היווה,424
עולם,424
בגין,423
מאודמאוד,423
עזרה,423
צמצום,423
חוקק,423
ליל,422
מיכל,422
החיל,422
העסקה,422
היסטוריה,422
אבן,421
שחרור,421
סיטואציה,421
אסף,421
התמקד,420
הגביל,420
זמין,419
אש,419
התבקש,418
שאף,417
חידד,417
עבריין,416
ידיד,415
גילאי,415
תמונה,415
התייעצות,415
נישואים,415
פרמטר,414
אפס,414
גישה,414
כותל,414
בשל,414
הביניים,413
רכישה,413
נולד,413
ראשות,412
הרחבה,412
פרשנות,411
כוונה,411
הכליל,410
סוכנת,410
מכללה,410
אוקי,410
גילוי,409
משכורת,409
נחשב,409
הרים,409
סכנה,408
יועד,408
אוטובוס,407
שן,407
הכשרה,407
רשום,407
תמורה,407
היערכות,407
הדרכה,406
חג,406
ליקוי,406
הרשים,405
סניף,405
אתגר,404
רגולטור,404
עומק,403
כשל,403
אגר,403
בשורה,402
שפחה,401
עודף,401
צפן,401
גלל,400
השגה,400
סייעת,400
עוניין,400
זימן,399
הביע,398
הוועדות,398
קצין,398
הצטער,397
שקיפות,397
פעילות,397
חיוב,397
הגברה,397
ביצע,397
איתי,395
לוי,395
המיסים,395
ביקור,394
דלק,394
הנהיג,394
תור,394
מיעוט,393
התנהגות,393
צהריים,393
ביתהמשפט,392
אמריקה,392
יוזם,392
סיור,392
הגבל,391
נצרה,391
העיד,390
סרט,390
רטרואקטיבי,390
דרוזים,390
השליט,390
השית,389
מיכאלי,388
הפסיד,387
השבה,386
איתו,386
אח,385
סקירה,385
ירש,385
מתאר,385
ענק,384
רכיב,383
עדכון,383
מכסה,383
הדהים,383
גייס,382
שואה,382
קריה,382
פלוס,381
חמישי,381
חינוכי,380
נתכן,380
בליל,379
אלכוהול,378
קבור,378
נלחם,377
הצהרה,377
לחם,377
עקרוני,376
משבר,376
פגש,376
מהלך,375
יציאה,373
תרגם,373
הסתובב,373
התפלל,372
הוגן,372
מהותי,372
כספי,372
מחבר,371
השלכה,371
יצרן,371
הסעה,370
חירום,369
הקיץ,368
מבוגר,368
יהודה,367
חלב,367
הפחה,366
ליבה,366
התווכח,365
רצח,365
פסול,365
הובא,364
עשייה,364
נבדק,364
מסיבה,364
התברר,364
הכלים,364
אחורה,364
הוסף,364
לוואי,364
למנכל,363
קשיש,363
אקדמי,363
מיסוי,363
קריטי,362
שפר,362
ותיק,361
בנקאי,361
תעופה,361
דחף,360
סטנדרט,360
תיקן,359
חסון,359
גזענות,359
גיוס,359
ריכוזי,359
עדיפות,358
הפעים,358
בסיסי,358
לשון,358
צרך,357
היטיב,356
יסד,356
מעקב,355
נאמן,355
עיכב,354
מלמד,354
נייד,353
רדיו,353
ירי,353
ניסוח,352
ביקוש,352
משתתף,352
מכך,352
כבד,352
גלגל,351
פורט,351
השמונהעשרה,350
להיום,350
הגדלה,349
נפתח,349
חרג,348
אבא,348
אזרחי,347
גץ,347
הורד,347
כאב,347
משתנה,346
קיץ,345
גרע,345
קצבה,345
סיעוד,345
מכאן,345
שכבה,345
תכנן,344
בינואר,344
אגרה,344
דרמטי,343
צבע,343
מטבע,343
מניה,343
פתיח,343
מרחק,342
מחלקה,341
מתווה,341
משחק,340
העדיף,340
שרק,340
רציף,340
אקדמיה,339
עסקי,338
הפנה,338
יתרון,338
התנדב,338
חלון,338
צמח,338
חך,337
נציב,337
מידי,337
פירט,336
מסחר,336
אזרחות,336
עיוור,335
למישהו,335
שוחרר,335
הטיס,334
אורח,334
רצף,334
קוף,333
הפחית,333
אוכלוסין,333
הרגיל,333
נקט,332
הפריש,332
לאיזה,331
יהדות,331
תו,330
סטטיסטיקה,330
בדצמבר,330
לאו,329
פיזי,329
דירקטור,328
נאלץ,328
המתין,328
הפר,327
מראה,327
הוסדר,327
ערר,327
קיצץ,327
בתלאביב,326
מרץ,324
כפל,324
רובוטיקה,324
התחבר,323
אסון,322
איחל,322
תוקצב,321
חיסכון,321
קן,321
נקרא,321
נתניה,321
רקע,320
צבר,320
שעון,319
צמיחה,319
טיפה,319
מצוק,319
שמיר,318
פגר,318
גלה,317
יואל,317
ממילא,317
בחל,317
שנא,317
נפתר,316
תקשר,316
רחל,316
צומצם,315
נאם,314
גורה,313
שולב,313
מנוי,312
זקן,312
דד,312
לאה,311
מקסימום,311
עיתונות,311
השרה,311
נביא,311
הפליל,311
איבד,311
הכריע,311
יכולת,310
בריטניה,310
שמש,309
סיפר,309
כשהם,309
ביניים,308
פורמלי,308
ואפילו,307
להלן,307
התעלם,307
מנחה,306
שבח,306
באוגוסט,306
ממלכה,306
עבור,306
מרשה,305
רתם,304
סגירה,304
רבנות,304
קבלה,304
תחתון,303
הועסק,303
חיבור,303
התכבד,303
שלף,303
מלוא,302
תוקן,302
עיסוק,302
דל,301
איתך,301
פרטני,301
הקשה,300
אמנון,300
מוכן,300
בינוני,300
זכאות,300
כפף,300
הסתדר,299
כרטיס,299
קבלן,299
פלסטין,299
תאם,299
עיתונאי,299
שער,298
כפר,298
מכשיר,298
מתמטיקה,298
ליושבראש,298
חיבר,297
הוכח,297
אמיתי,296
התנה,296
חול,295
נוצר,295
זנה,295
תמר,294
מועמד,294
מטוס,293
גרף,293
התקדמות,293
כינס,293
הציב,292
שקט,292
פנים,291
נשאל,291
שיקר,291
אפשרי,291
הפריד,291
בוסס,290
הלבנה,290
מעגל,290
נוכחי,290
הזרים,289
בתיספר,289
פינוי,289
נמשך,288
קבר,288
נו,288
היטל,288
שעכשיו,288
זאב,288
שלילי,288
אבטלה,288
כיצד,287
שגר,287
מעמ,287
נפלא,287
בוצע,287
למידה,286
פרקליט,286
תכף,285
אזולאי,285
תמריץ,285
הקיף,285
נעדר,285
בתמוז,284
גבל,283
חרדים,283
שותפה,283
הקדים,283
התגייס,283
הסב,282
בוטל,282
התקשרות,282
טכנאי,282
גליל,281
מרכיב,281
הוזכר,281
הפקה,280
ייחוד,280
איתור,280
רשמי,280
דרגה,280
הלם,280
השלמה,279
טח,279
סנקציה,279
לוין,279
נפט,279
חתימה,279
חשף,279
אנו,278
קיצור,278
נמסר,278
עיכוב,278
חכה,278
אפקטיבי,277
שבר,277
בתיהספר,277
עשור,277
דף,277
באר,277
מיטה,276
סוד,276
החשיב,276
קול,276
הזכרה,275
מרחב,275
היסטורי,274
הבהרה,274
פקד,274
רצינות,274
דיפרנציאל,274
מגדיר,274
זירה,273
תקווה,273
ביתהספר,273
וכאן,273
מפקד,273
קמפיין,273
צילם,272
השתלמות,272
גיור,272
סגור,272
פירוט,272
הקטנה,271
ספרה,271
פרנס,271
סבסוד,271
רחק,270
מחזור,270
נמל,269
נשמע,269
חיצון,268
ביתספר,268
האחיד,267
אברהם,267
פרוצדורה,267
נערה,267
הטביע,267
בילה,267
גובה,267
אבישי,266
דג,266
שקף,266
עורךדין,266
ייעוד,265
מטעם,265
מגדל,265
טיעון,265
ייחודי,265
שיחה,264
תחרה,264
הגיר,264
מגל,264
מגן,264
נכלל,264
קיצונים,263
מוזמן,263
השתנה,263
בגרות,263
טיסה,263
ממצא,263
כיס,263
תקיף,262
